barcode01: {'5_8S': 0, 'ITS1': 1, 'ITS2': 339, 'LSU': 220, 'SSU': 39, 'full': 0, 'no_detections': 2348}
barcode02: {'5_8S': 0, 'ITS1': 6, 'ITS2': 541, 'LSU': 379, 'SSU': 71, 'full': 0, 'no_detections': 1111}
barcode03: {'5_8S': 0, 'ITS1': 1, 'ITS2': 199, 'LSU': 137, 'SSU': 35, 'full': 0, 'no_detections': 2999}
barcode04: {'5_8S': 0, 'ITS1': 3, 'ITS2': 547, 'LSU': 378, 'SSU': 68, 'full': 0, 'no_detections': 1216}
barcode05: {'5_8S': 0, 'ITS1': 0, 'ITS2': 351, 'LSU': 238, 'SSU': 42, 'full': 0, 'no_detections': 4740}
barcode06: {'5_8S': 0, 'ITS1': 0, 'ITS2': 160, 'LSU': 110, 'SSU': 26, 'full': 0, 'no_detections': 1902}
barcode07: {'5_8S': 0, 'ITS1': 1, 'ITS2': 279, 'LSU': 174, 'SSU': 42, 'full': 0, 'no_detections': 568}
barcode09: {'5_8S': 0, 'ITS1': 2, 'ITS2': 129, 'LSU': 104, 'SSU': 17, 'full': 0, 'no_detections': 1809}
barcode10: {'5_8S': 0, 'ITS1': 2, 'ITS2': 152, 'LSU': 113, 'SSU': 29, 'full': 0, 'no_detections': 3251}
barcode11: {'5_8S': 0, 'ITS1': 1, 'ITS2': 177, 'LSU': 118, 'SSU': 24, 'full': 0, 'no_detections': 637}
barcode12: {'5_8S': 0, 'ITS1': 3, 'ITS2': 213, 'LSU': 148, 'SSU': 35, 'full': 0, 'no_detections': 769}
barcode13: {'5_8S': 0, 'ITS1': 6, 'ITS2': 262, 'LSU': 166, 'SSU': 48, 'full': 0, 'no_detections': 658}
barcode14: {'5_8S': 0, 'ITS1': 11, 'ITS2': 205, 'LSU': 152, 'SSU': 35, 'full': 0, 'no_detections': 526}
barcode15: {'5_8S': 0, 'ITS1': 4, 'ITS2': 214, 'LSU': 143, 'SSU': 23, 'full': 0, 'no_detections': 765}
barcode16: {'5_8S': 0, 'ITS1': 12, 'ITS2': 241, 'LSU': 153, 'SSU': 42, 'full': 0, 'no_detections': 477}
barcode17: {'5_8S': 0, 'ITS1': 281, 'ITS2': 163, 'LSU': 110, 'SSU': 963, 'full': 0, 'no_detections': 1550}
barcode18: {'5_8S': 0, 'ITS1': 2, 'ITS2': 104, 'LSU': 58, 'SSU': 20, 'full': 0, 'no_detections': 638}
barcode19: {'5_8S': 0, 'ITS1': 5, 'ITS2': 167, 'LSU': 110, 'SSU': 24, 'full': 0, 'no_detections': 6576}
barcode20: {'5_8S': 0, 'ITS1': 6, 'ITS2': 137, 'LSU': 86, 'SSU': 26, 'full': 0, 'no_detections': 3073}
barcode21: {'5_8S': 0, 'ITS1': 976, 'ITS2': 133, 'LSU': 94, 'SSU': 8998, 'full': 0, 'no_detections': 15041}
barcode23: {'5_8S': 0, 'ITS1': 5, 'ITS2': 131, 'LSU': 82, 'SSU': 14, 'full': 0, 'no_detections': 256}
barcode24: {'5_8S': 0, 'ITS1': 5, 'ITS2': 150, 'LSU': 90, 'SSU': 17, 'full': 0, 'no_detections': 1446}
barcode25: {'5_8S': 0, 'ITS1': 13, 'ITS2': 276, 'LSU': 193, 'SSU': 50, 'full': 0, 'no_detections': 918}
barcode26: {'5_8S': 0, 'ITS1': 20, 'ITS2': 346, 'LSU': 221, 'SSU': 48, 'full': 0, 'no_detections': 1041}
barcode27: {'5_8S': 0, 'ITS1': 371, 'ITS2': 189, 'LSU': 130, 'SSU': 1582, 'full': 0, 'no_detections': 2146}
barcode28: {'5_8S': 0, 'ITS1': 7, 'ITS2': 128, 'LSU': 91, 'SSU': 27, 'full': 0, 'no_detections': 825}
barcode30: {'5_8S': 0, 'ITS1': 11, 'ITS2': 152, 'LSU': 98, 'SSU': 25, 'full': 0, 'no_detections': 3167}
barcode31: {'5_8S': 0, 'ITS1': 5, 'ITS2': 230, 'LSU': 133, 'SSU': 24, 'full': 0, 'no_detections': 535}
barcode33: {'5_8S': 0, 'ITS1': 4, 'ITS2': 201, 'LSU': 134, 'SSU': 29, 'full': 1, 'no_detections': 1010}
barcode34: {'5_8S': 0, 'ITS1': 600, 'ITS2': 165, 'LSU': 118, 'SSU': 5009, 'full': 0, 'no_detections': 6715}
barcode35: {'5_8S': 0, 'ITS1': 6, 'ITS2': 157, 'LSU': 96, 'SSU': 26, 'full': 0, 'no_detections': 2168}
barcode36: {'5_8S': 0, 'ITS1': 11, 'ITS2': 198, 'LSU': 145, 'SSU': 35, 'full': 0, 'no_detections': 432}
barcode37: {'5_8S': 0, 'ITS1': 17, 'ITS2': 235, 'LSU': 155, 'SSU': 53, 'full': 0, 'no_detections': 469}
barcode38: {'5_8S': 0, 'ITS1': 34, 'ITS2': 362, 'LSU': 243, 'SSU': 73, 'full': 0, 'no_detections': 2891}
barcode39: {'5_8S': 0, 'ITS1': 10, 'ITS2': 177, 'LSU': 131, 'SSU': 40, 'full': 0, 'no_detections': 383}
barcode40: {'5_8S': 0, 'ITS1': 6, 'ITS2': 153, 'LSU': 105, 'SSU': 32, 'full': 0, 'no_detections': 365}
barcode41: {'5_8S': 0, 'ITS1': 1881, 'ITS2': 160, 'LSU': 97, 'SSU': 9933, 'full': 0, 'no_detections': 8118}
barcode42: {'5_8S': 0, 'ITS1': 2, 'ITS2': 148, 'LSU': 88, 'SSU': 15, 'full': 0, 'no_detections': 758}
barcode43: {'5_8S': 0, 'ITS1': 6, 'ITS2': 153, 'LSU': 95, 'SSU': 18, 'full': 1, 'no_detections': 1395}
barcode44: {'5_8S': 0, 'ITS1': 8, 'ITS2': 105, 'LSU': 79, 'SSU': 20, 'full': 0, 'no_detections': 623}
barcode45: {'5_8S': 0, 'ITS1': 4, 'ITS2': 142, 'LSU': 116, 'SSU': 27, 'full': 0, 'no_detections': 2354}
barcode46: {'5_8S': 0, 'ITS1': 6, 'ITS2': 161, 'LSU': 86, 'SSU': 23, 'full': 0, 'no_detections': 290}
barcode47: {'5_8S': 0, 'ITS1': 10, 'ITS2': 137, 'LSU': 87, 'SSU': 21, 'full': 0, 'no_detections': 573}
barcode48: {'5_8S': 0, 'ITS1': 10, 'ITS2': 210, 'LSU': 143, 'SSU': 43, 'full': 0, 'no_detections': 565}
barcode49: {'5_8S': 0, 'ITS1': 9, 'ITS2': 119, 'LSU': 86, 'SSU': 29, 'full': 0, 'no_detections': 524}
barcode50: {'5_8S': 0, 'ITS1': 8, 'ITS2': 184, 'LSU': 118, 'SSU': 30, 'full': 0, 'no_detections': 505}
barcode51: {'5_8S': 0, 'ITS1': 5, 'ITS2': 171, 'LSU': 95, 'SSU': 21, 'full': 0, 'no_detections': 342}
barcode52: {'5_8S': 0, 'ITS1': 16, 'ITS2': 177, 'LSU': 123, 'SSU': 28, 'full': 0, 'no_detections': 368}
barcode53: {'5_8S': 0, 'ITS1': 12, 'ITS2': 339, 'LSU': 240, 'SSU': 55, 'full': 0, 'no_detections': 908}
barcode54: {'5_8S': 0, 'ITS1': 16, 'ITS2': 436, 'LSU': 324, 'SSU': 74, 'full': 0, 'no_detections': 934}
barcode55: {'5_8S': 0, 'ITS1': 8, 'ITS2': 212, 'LSU': 136, 'SSU': 34, 'full': 0, 'no_detections': 436}
barcode56: {'5_8S': 0, 'ITS1': 11, 'ITS2': 221, 'LSU': 162, 'SSU': 39, 'full': 0, 'no_detections': 671}
barcode57: {'5_8S': 0, 'ITS1': 8, 'ITS2': 248, 'LSU': 148, 'SSU': 33, 'full': 0, 'no_detections': 512}
barcode58: {'5_8S': 0, 'ITS1': 10, 'ITS2': 205, 'LSU': 121, 'SSU': 25, 'full': 0, 'no_detections': 366}
barcode59: {'5_8S': 0, 'ITS1': 6, 'ITS2': 135, 'LSU': 76, 'SSU': 19, 'full': 0, 'no_detections': 294}
barcode60: {'5_8S': 0, 'ITS1': 172, 'ITS2': 160, 'LSU': 108, 'SSU': 801, 'full': 0, 'no_detections': 1410}
barcode61: {'5_8S': 0, 'ITS1': 133, 'ITS2': 160, 'LSU': 119, 'SSU': 494, 'full': 0, 'no_detections': 944}
barcode62: {'5_8S': 0, 'ITS1': 59, 'ITS2': 192, 'LSU': 121, 'SSU': 326, 'full': 0, 'no_detections': 874}
barcode63: {'5_8S': 0, 'ITS1': 125, 'ITS2': 139, 'LSU': 73, 'SSU': 513, 'full': 0, 'no_detections': 979}
barcode64: {'5_8S': 0, 'ITS1': 195, 'ITS2': 141, 'LSU': 104, 'SSU': 841, 'full': 0, 'no_detections': 1288}
barcode65: {'5_8S': 0, 'ITS1': 8, 'ITS2': 196, 'LSU': 134, 'SSU': 30, 'full': 0, 'no_detections': 2631}
barcode66: {'5_8S': 0, 'ITS1': 255, 'ITS2': 190, 'LSU': 136, 'SSU': 1450, 'full': 0, 'no_detections': 3011}
barcode67: {'5_8S': 0, 'ITS1': 306, 'ITS2': 111, 'LSU': 67, 'SSU': 1754, 'full': 0, 'no_detections': 2272}
barcode69: {'5_8S': 0, 'ITS1': 229, 'ITS2': 183, 'LSU': 112, 'SSU': 1165, 'full': 0, 'no_detections': 1611}
barcode70: {'5_8S': 0, 'ITS1': 892, 'ITS2': 178, 'LSU': 111, 'SSU': 3301, 'full': 0, 'no_detections': 2631}
barcode71: {'5_8S': 0, 'ITS1': 233, 'ITS2': 196, 'LSU': 155, 'SSU': 10452, 'full': 0, 'no_detections': 9175}
barcode72: {'5_8S': 0, 'ITS1': 6, 'ITS2': 187, 'LSU': 104, 'SSU': 40, 'full': 0, 'no_detections': 567}
barcode88: {'5_8S': 0, 'ITS1': 9, 'ITS2': 219, 'LSU': 148, 'SSU': 21, 'full': 0, 'no_detections': 1152}
