Species	Count
Penicillium brevicompactum	20
Penicillium glabrum	10
Uncultured fungus	9
Basidiomycete symbiont	6
Zymoseptoria crescenta	5
Rhodotorula sp.	3
uncultured fungus	3
[Candida] sake	2
Uncultured Ascomycota	2
Trichoderma virens	2
Aspergillus lentulus	1
Aspergillus fumigatus	1
Aspergillus clavatus	1
Trichoderma aggressivum	1
Geastrum saccatum	1
Miladina lecithina	1
Nigrospora oryzae	1
Rhizophagus sp.	1
Inocybe impexa	1
Uncultured Naganishia	1
Phialemonium atrogriseum	1
Ceraceosorus sp.	1
Megasporoporiella sp.	1
Leucoagaricus gongylophorus	1
Russula drimeia	1
Uncultured Pseudogymnoascus	1
Aspergillus niger	1
Aspergillus terreus	1
Clitopilus umbilicatus	1
Aplosporella hesperidica	1
Lasiosphaeria miniovina	1
Leaf litter	1
Neurospora tetraspora	1
Holtermanniella sp.	1
Uromyces trifolii-repentis	1
Aspergillus pseudoglaucus	1
Botrytis deweyae	1
Geastrum quadrifidum	1
Candidozyma auris	1
Penicillium spinulosum	1
Didymella sp.	1
Megasporoporiella variabilicolor	1
Malassezia nana	1
Kwoniella heveanensis	1
Aspergillus sp.	1
Penicillium sp.	1
