ID	Status	Reason	Top_Hit
b7edfe97-51ab-405d-b5d6-cd7df7a65fb5	Included	Fungal	Penicillium brevicompactum strain ATCC 16024 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
792de306-f43f-4866-b326-78d8815cb3d4	Included	Fungal	Penicillium brevicompactum strain ATCC 16024 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
1153da23-331f-4d90-a272-9f22badb8e0d	Included	Fungal	Lyophyllum turcicum strain HMJAU63993 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~96%
2765ea0d-2b1a-4eac-ad10-186766f891ff	Included	Fungal	Clitopilus umbilicatus strain SYNF705 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~91%
15088a91-45fc-4116-ad6e-9ac2b63a8c2d	Included	Fungal	Uncultured fungus clone LTSP_EUKA_P2E14 18S ribosomal RNA, 18S-25/28S ribosomal RNA intergenic spacer, partial sequence ~84%
cfc0c438-b60f-4189-87c5-a60af97e7126	Included	Fungal	Didymella sp. clone OTU811 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~100%
95b4a4ec-1759-4dab-a19c-8122d4294618	Included	Fungal	Lepista sordida breed mushroom small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~96%
60bf9115-5d69-48b3-bac6-6e4cda8ce2c1	Included	Fungal	Penicillium brevicompactum strain ATCC 16024 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~96%
49a3941c-1463-4c05-befb-17f22fcbc91e	Included	Fungal	Penicillium brevicompactum strain ATCC 16024 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
c63136b9-a5f0-42f4-be27-90660e9995e1	Included	Fungal	Malassezia japonica CBS 9431 18S rRNA gene, partial sequence; from TYPE material ~100%
