@adf7c62a-1381-4fb4-aa37-5a3292f2cea9_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@f57bd906-c32d-4abb-b12b-ca22cf41bd58_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@85233748-1b1c-44ce-8b7b-84cf23149785_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@a3e22746-388e-4fe2-b24b-573cde305d6c_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@467ef437-d1f1-4cae-8df5-255789f7ce0c_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@17654355-7aa7-471b-af30-e2f0c418329f_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@a6ba57ee-de73-4ed5-9692-3f6b3bc09b14_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@c3d2c85a-2533-4882-b018-477566369916_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@bb3bf45a-7f0b-4ef6-abc4-32aabf2f1bf7_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@bbd9dee3-932a-4ce5-8b5f-6437006cec6b_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@bf656dc7-d972-455a-87e7-8fde411d94aa_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@549a4856-c424-46b2-8e5e-b05b9f15e84c_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@6420d222-b28e-40c5-bbfd-098811ab3e9e_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@21136e97-a7d4-4daa-b4c9-9cf5bddabe9e_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@c280a76b-f57a-4dc5-af6a-4d2d7ec250d5_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@d1d4962c-647a-42b1-919b-9e093c2ea153_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@a16761e1-38ed-4ade-8441-1d2df62f799b_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; End of 5.8S sequence not found
@253f52d6-d0f0-456c-ab44-cf16548c8806_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; End of 5.8S sequence not found
@a9fb2b59-2d62-4bb7-88ba-73fb8c693de7_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@84fa6e3b-16d6-40b8-9bfe-4535b9945fc1_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@61dc15de-9c02-43bb-89c7-81cca9a37b5b_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@b3d05692-d44f-4ef5-86ba-c17e50db43b7_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@76fcd55f-41e3-4856-8d32-6343628d11b8_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@86ce895b-9f16-48b9-8624-c3204ef73776_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@f3d2e8bb-1957-44e1-b493-56a641acff99_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@92e3ec90-105e-4ec6-bd80-c8be4425d7fd_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@2b1c92a9-69f6-4921-92ad-7226b16aa668_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; ITS region is suspiciously long (> 1500 bp)
@5bded1de-92fc-420d-9c58-a219405cc2b3_c9d44752_0_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@6a557c42-ab93-4817-b906-614eab08c487_c9d44752_0_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@bcf932b4-504b-4434-8af5-1ffe44f75593_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@9b4f6bfb-615d-4da4-841e-84dd64f1711b_c9d44752_1_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@8f76087c-1b40-4592-b33a-785d6e0d3553_c9d44752_1_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@3f190cc9-4f1e-401c-9aed-b85f26e22f5b_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@58bfb22c-8c3e-487b-82e1-85959bcd040e_1_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@0b8f4f5f-8985-453c-9264-8c76021b11a3_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@4f794041-f2d4-4783-b551-eee4b52ed59b_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@84540598-1547-4d89-8443-19ad281e56a5_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@afe7724b-6322-49bf-8b05-e611af25c345_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@6caff7ce-d69c-430c-a0ae-4bcee00055d3_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@4c16007e-0ba0-4d96-a446-27bb2223e5d8_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@3bc5c1f6-f8d4-4f18-8aa6-bcff1b9b6ed2_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@835c3fdc-44f9-46ef-b40b-0734462789b0_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@3a9860cf-838a-49ce-91e0-16b4543b5f77_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@382b7c33-6d02-46e4-811b-f0f4bbabeec0_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@28b25528-4953-469c-92bc-fb0d1e95c1b9_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@d31f28e9-fc06-40f9-bc9c-a0282e33bc69_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@a83783a8-db80-4a33-8cd7-4d59a2a7ce56_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@f571944d-31c7-40a5-9ba0-0c0e0ce9c825_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@91b53f9e-5c58-432b-ad3f-480893bb03d3_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
