ID	Status	Reason	Top_Hit
4ece2f48-cda4-4ee0-ac97-6de681e0bfb6	Included	Fungal	Aspergillus niger contig An16c0230, genomic contig ~90%
3de16ad5-e3a6-473d-82b2-ac08d3b0af88	Included	Fungal	Aspergillus puulaauensis non-ribosomal peptide synthetase (APUU_20021S), partial mRNA ~80%
1361442f-a1f4-474e-b8c1-b134ec4df134	Included	Fungal	Penicillium malachiteum COP9 signalosome subunit 1 (N7483_005926), partial mRNA ~93%
566b55ef-2157-4bc1-8dca-c1d48ec7cca5	Included	Fungal	Penicillium bovifimosum Sad1/UNC-like C-terminal (N7515_000864), partial mRNA ~96%
b473ea69-5a05-496f-be38-d11821d162cc	Excluded	Low identity	Uncultured fungus clone G1_FF7 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~72%
56a17b04-0765-4e05-aa5d-2a05c33a18ad	Included	Fungal	Pleosporales sp. strain MEND-F-1094 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~89%
5ab7c693-6808-42a6-a2e8-671f4114f23f	Included	Fungal	Megasporoporiella sp. CL-2016b isolate URM86947 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~91%
38d49703-814a-463e-b4ec-ed8f09c350d6	Included	Fungal	Phaeoacremonium minimum UCRPA7 putative mfs multidrug transporter protein partial mRNA ~100%
7f9b6be6-b5db-48aa-bbd9-0a02a714567b	Excluded	Low identity	Gaeumannomyces tritici R3-111a-1 hypothetical protein mRNA ~73%
b69ed15e-4c0c-4934-a4f9-b2345b2d6b98	Included	Fungal	Coniochaeta fodinicola strain YoF 18S ribosomal RNA gene, partial sequence ~97%
ee44b604-0334-49c9-8f1a-db7207f75d3f	Included	Fungal	Aspergillus citrinoterreus strain CBS138921 chromosome IV ~92%
3393bf6a-e835-426c-ba10-4bd2277708e8	Included	Fungal	Apiospora phragmitis uncharacterized protein (PG994_013531), partial mRNA ~96%
9c4f0a4e-d87e-4239-836a-b04eb9bd39b3	Included	Fungal	Candida oxycetoniae strain AS2.3656 mitochondrion, complete genome >gi|528750178|gb|KC993187.1| Candida oxycetoniae strain AS2.3656 mitochondrion, complete genome ~87%
13bfb6c8-852d-4812-8344-79d381901e6f	Included	Fungal	Exophiala dermatitidis NIH/UT8656 uncharacterized protein (HMPREF1120_01019), mRNA ~92%
