ID	Status	Reason	Top_Hit
dd938946-94c6-4df0-b4e6-6497a59c283e	Excluded	Non-fungal	Ralstonia sp. CP chromosome 2, complete sequence ~90%
97f16aa4-2c5b-4b6a-a224-73de111a2b39	Excluded	Non-fungal	Ralstonia sp. CP chromosome 2, complete sequence ~93%
6127ee7a-5e24-4d8f-9a17-388707ef73ee	Excluded	Non-fungal	Ralstonia sp. CP chromosome 1, complete sequence ~90%
f6e2beec-a7b6-4ffc-a093-1631979a816e	Excluded	Non-fungal	Pennatula sp. KS-2005 18S ribosomal RNA gene, partial sequence ~94%
0f65bc19-bd35-46d0-b7e0-d291ebaa0713	Excluded	Non-fungal	Selenidium cf. axiferens small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
1feaa95a-1bc5-4400-a004-0b43c8990d5a	Excluded	Non-fungal	Ralstonia sp. CP plasmid unnamed1, complete sequence ~91%
8526ba26-7a6b-47f6-82b6-9d67df5de0bb	Excluded	Non-fungal	Ralstonia sp. CP chromosome 2, complete sequence ~96%
7362bc76-633d-48f5-a3ec-7c67cb6a6247	Excluded	Non-fungal	Pseudomonas fluorescens strain AB1 chromosome, complete genome ~92%
e5a71252-a857-4cb2-a11b-5a15dfeb37eb	Excluded	Non-fungal	Chlorella sorokiniana strain GT-1 small subunit ribosomal RNA gene, partial sequence ~100%
abfd6b2e-667c-4436-a06c-0e22a6968b38	Excluded	Non-fungal	PREDICTED: Euwallacea similis transcription factor Sox102F (Sox102F), transcript variant X4, mRNA ~100%
a14eb753-9943-4892-b223-7afe2d0c8bf7	Excluded	Non-fungal	Ralstonia sp. CP chromosome 1, complete sequence ~85%
ef0b0cd6-9df6-4d9c-9430-975906bc3dc2	Excluded	Non-fungal	T.steini gene for small subunit 16S-like ribosomal RNA ~93%
1b7e2b44-e146-418c-880e-7ce383c5ed0f	Excluded	Non-fungal	Ceraceosorus sp. culture NRRL:Y-66778 clone 19 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~88%
fe85c002-e7a2-4dd0-86fc-4795785a06ce	Excluded	Non-fungal	Ralstonia sp. CP chromosome 2, complete sequence ~93%
95c91358-b97d-4cc5-b383-9fa63de26dd2	Excluded	Non-fungal	Pseudomonas koreensis strain FP1691 chromosome, complete genome ~93%
68b09178-9582-422e-9b5f-9d208868657c	Excluded	Non-fungal	Selenidium patagonica small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
ec23a9c1-53a3-4387-acc1-09e8ca610a60	Excluded	Non-fungal	PREDICTED: Sparus aurata sterol O-acyltransferase 1-like (LOC115583459), mRNA ~85%
2b7eb2c0-47e7-4ba1-8daa-db0b9c27e15b	Excluded	Non-fungal	Selenidium patagonica small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
47856c08-a4e1-4156-9c0e-3f59b6250403	Excluded	Non-fungal	[Candida] friedrichii JCM 9553 18S rRNA gene, partial sequence; from TYPE material >gi|4586719|dbj|AB013531.1| Candida friedrichii 18S rRNA gene, strain JCM 9553, partial sequence ~88%
fa149860-e1ed-4e12-b78b-3b614f3e898d	Excluded	Non-fungal	Selenidium patagonica small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
090121ad-0d97-425c-8dbf-549399be5dc2	Excluded	Non-fungal	Ralstonia sp. CP chromosome 1, complete sequence ~94%
7a3b3742-82db-4a25-9471-04fd44443866	Excluded	Non-fungal	Actinoplanes ianthinogenes NBRC 13996 DNA, complete genome ~89%
d385edb3-04a3-4414-a7eb-f55f96a49902	Excluded	Non-fungal	PREDICTED: Myxocyprinus asiaticus B-cell receptor CD22-like (LOC127450231), transcript variant X1, mRNA ~87%
d1cc1535-477e-4684-943e-ad3ac399f97e	Excluded	Non-fungal	Selenidium patagonica small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
2097cb4e-e7fa-48ba-952c-d0be63031897	Excluded	Non-fungal	Geastrum sp. voucher MART-10-039 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~89%
b8860887-c521-474c-b9e4-34d7033982a6	Excluded	Non-fungal	Ralstonia sp. CP chromosome 1, complete sequence ~96%
7b1d0fd9-775a-46cf-ba82-126ad4d0d58b	Excluded	Non-fungal	Ralstonia sp. CP chromosome 1, complete sequence ~96%
bb2de978-9807-409f-af07-e1c5b9737f35	Excluded	Non-fungal	Holostichides chardezi voucher ZH2016082801 small subunit ribosomal RNA gene, partial sequence ~96%
b36790d0-525f-406a-98a1-5291edfb87f6	Excluded	Non-fungal	Sandona mutans Flagella An1019C gene for 18S rRNA, partial sequence ~77%
