@8227573d-1874-49a2-8a47-81271bff7221_c9d44752_0_trimmed_filtered	1386 bp.	SSU: 1-659	ITS1: 660-857	5.8S: 858-1009	ITS2: 1010-1207	LSU: 1208-1386	
@aa73c888-acb6-4473-bb59-3184a472fd7e_c9d44752_0_trimmed_filtered	211 bp.	SSU: 1-177	ITS1: 178-211	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@697ff03b-d408-4572-ac83-46aeec3d7f3f_c9d44752_0_trimmed_filtered	689 bp.	SSU: Not found	ITS1: Not found	5.8S: Not found	ITS2: 1-493	LSU: 494-689	Broken or partial sequence, no 5.8S! 
@331cb947-ac56-4942-bd78-789bdfd32256_c9d44752_0_trimmed_filtered	209 bp.	SSU: 1-209	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@b07f1ee4-d4af-428e-bf25-cccae88e2391_c9d44752_0_trimmed_filtered	216 bp.	SSU: 1-173	ITS1: 174-216	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@cd2eebea-02f6-4e13-9153-c1059974f43b_c9d44752_0_trimmed_filtered	445 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 105-317	LSU: 318-445	Broken or partial sequence, only partial 5.8S! 
@e3ce18b0-5be2-4387-a624-9fe5e56b4947_c9d44752_0_trimmed_filtered	214 bp.	SSU: 1-206	ITS1: 207-214	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@baa42a66-77ca-4f38-9fb4-4450e9b577a7_c9d44752_0_trimmed_filtered	331 bp.	SSU: 1-167	ITS1: 168-331	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@fe1ae20e-7c5b-4538-9d71-df18a875de93_c9d44752_0_trimmed_filtered	453 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 102-297	LSU: 298-453	Broken or partial sequence, only partial 5.8S! 
@bc11c75f-d72d-4966-b320-afa90a4eba9a_c9d44752_0_trimmed_filtered	202 bp.	SSU: 1-198	ITS1: 199-202	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@a63062c3-0c77-4bfe-9794-5176c35d4ca0_c9d44752_0_trimmed_filtered	201 bp.	SSU: 1-201	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@77377910-ab7d-4267-9d4f-f7001f57afc4_c9d44752_0_trimmed_filtered	211 bp.	SSU: 1-211	ITS1: Not found	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@9f121337-5650-44a7-b4aa-28e9f6acab18_c9d44752_0_trimmed_filtered	221 bp.	SSU: 1-174	ITS1: 175-221	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@4cd46318-4f22-4a79-b35a-be2f7ebffa49_c9d44752_0_trimmed_filtered	204 bp.	SSU: 1-200	ITS1: 201-204	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
