@c407e426-58eb-4a85-8299-19eb65f82e3f_c9d44752_0_trimmed_filtered	482 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 116-324	LSU: 325-482	Broken or partial sequence, only partial 5.8S! 
@b5e705d6-9b9a-40c6-af7a-ac9ad23a6297_c9d44752_0_trimmed_filtered	920 bp.	SSU: 1-165	ITS1: 166-920	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@56b9f967-9c74-429e-8b7e-2ddea5cd1c6b_c9d44752_0_trimmed_filtered	265 bp.	SSU: 1-61	ITS1: 62-265	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@bfdbbaa3-bae6-44de-a6f0-eabe60acc9dd_c9d44752_0_trimmed_filtered	488 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 112-320	LSU: 321-488	Broken or partial sequence, only partial 5.8S! 
@4c29ae23-58cc-4f6b-956a-c93769934973_c9d44752_0_trimmed_filtered	513 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 114-329	LSU: 330-513	Broken or partial sequence, only partial 5.8S! 
@41f4f15b-ead9-416d-afe9-27bd1e964346_c9d44752_0_trimmed_filtered	486 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 112-322	LSU: 323-486	Broken or partial sequence, only partial 5.8S! 
@56e7691b-6d1c-4b0e-9479-46a4e156a5cf_c9d44752_0_trimmed_filtered	211 bp.	SSU: 1-206	ITS1: 207-211	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@b4d6d10c-a971-4374-9625-3cd9f471e974_c9d44752_0_trimmed_filtered	469 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 90-299	LSU: 300-469	Broken or partial sequence, only partial 5.8S! 
@5ad6f766-ee91-41e5-80b7-3ae735bbf45f_c9d44752_0_trimmed_filtered	206 bp.	SSU: 1-174	ITS1: 175-206	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
@d0213aa3-7c9e-497e-bc94-b484749d0775_c9d44752_0_trimmed_filtered	509 bp.	SSU: Not found	ITS1: Not found	5.8S: Not found	ITS2: 1-353	LSU: 354-509	Broken or partial sequence, no 5.8S! 
@31ea504f-dbf4-4488-8cbe-d8c04ae3f320_c9d44752_0_trimmed_filtered	204 bp.	SSU: 1-200	ITS1: 201-204	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
