ID	Status	Reason	Top_Hit
74178c08-1897-4eb7-89b2-b56eafaff778	Excluded	Non-fungal	Pseudogymnoascus pannorum culture CBS:127175 strain CBS 127175 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~80%
2bb854c6-6cbd-4a10-a484-34d539b51879	Excluded	Non-fungal	Blastocystis sp. isolate 2695_17m_medaka1 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
02159cbf-114f-44d3-a1bb-fa144623dddd	Excluded	Non-fungal	Serendipita sp. isolate G.major_TPS_CLM1853 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~96%
6506571c-0eaf-429e-a766-1e253afce022	Excluded	Non-fungal	Uncultured zygomycete clone 4S1_C04 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~80%
0ed2d1c7-d171-4371-aeba-b1428cb9ef47	Excluded	Non-fungal	Pseudomonas sp. FP453 chromosome, complete genome ~93%
9fc1c49b-7332-493d-8ed2-b2cff3ffd8af	Excluded	Non-fungal	Pterospora schizosoma 18S small subunit ribosomal RNA gene, partial sequence ~100%
d06e5d30-a0d9-4161-bca3-725aaab5da51	Excluded	Non-fungal	Phaeodiaporthe appendiculata strain SYNF355 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~96%
bb908cf3-b59c-4612-b202-2c2a343ae205	Excluded	Non-fungal	Selenidium patagonica small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
3d4fe17c-efaf-4c19-b227-2146dac3bcab	Excluded	Non-fungal	Echinochasmus japonicus isolate Heilongjiang province 18S ribosomal RNA gene, partial sequence ~96%
c6b476f1-7f1d-4cdb-8148-3c8c7bdcbf3f	Excluded	Non-fungal	Trichocladium griseum isolate F_HROOT1_10399 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~83%
dd67a94b-f44d-41cf-b6ef-d96d5a44ea2e	Excluded	Non-fungal	Henningsomyces sp. 'candidus-CA02' isolate CA FUNDIS iNaturalist # 161758685 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2610343183|gb|OR754061.1| Henningsomyces sp. 'candidus-CA02' isolate CA FUNDIS iNaturalist # 161088462 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2633572767|gb|OR944524.1| Henningsomyces sp. 'CA02' isolate CA FUNDIS iNAT:172213038 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2737463100|gb|PP849877.1| Henningsomyces sp. 'candidus-CA02' isolate CA FUNDIS iNaturalist # 167244435 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2782297694|gb|PQ124986.1| Henningsomyces sp. 'candidus-CA02' voucher HAY-F-005453 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~85%
7119f6db-18ac-4fa1-bfc8-aa84d8721f50	Included	Fungal	Uncultured fungus clone CMH567 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~83%
be8ba175-9aed-4942-8dbd-b29e2c88695f	Excluded	Non-fungal	Penicillium sp. isolate PEF17 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence >gi|2602572130|gb|OR733581.1| Penicillium sp. isolate PEF18 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~80%
31c9c021-f2a0-4e50-91d8-637064c8260b	Excluded	Non-fungal	Peziza badia voucher JL25 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~81%
3dc2f236-f161-466a-9928-f1cfcd298436	Excluded	Non-fungal	Uncultured marine eukaryote clone NPK57_140 18S ribosomal RNA gene gene, partial sequence ~100%
e5c82eee-6a96-41f4-a158-39d85cbabaa6	Excluded	Non-fungal	PREDICTED: Alosa alosa inactive all-trans-retinol 13,14-reductase-like (LOC125287985), mRNA ~88%
a0a03691-c305-4ca9-83b5-b81de64f0edf	Excluded	Non-fungal	PREDICTED: Lutra lutra dispatched RND transporter family member 3 (DISP3), mRNA ~96%
b34233e4-5d18-49b1-85be-fba96b93a357	Excluded	Non-fungal	Paracalanus parvus clone CNT00023 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~92%
d2c00988-67f2-4a05-9e3e-48186df35d28	Excluded	No alignment	N/A
e2d23b1f-3951-40b2-abe6-cb3b1e366fc7	Excluded	Non-fungal	Alpinia coriandriodora isolate GD01 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence ~86%
773cbdaa-93e7-4cce-9ab7-8e4c7c083b8d	Excluded	Non-fungal	Mucor sp. M7 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA ~88%
cafdcd23-106e-4784-957a-b00c9b82a3ed	Excluded	Non-fungal	Pyropia koreana isolate HM069 small subunit ribosomal RNA gene, partial sequence ~96%
42383e3f-0ee5-401a-96d3-b14ba0550fbc	Excluded	Non-fungal	Mucor sp. isolate 9b small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~92%
677305e6-31ed-464f-ba1d-3793e1667cd2	Excluded	Non-fungal	Orodruina flavescens internal transcribed spacer region, partial sequence ~100%
0e54c883-ea3a-4309-bb55-c1b4c1d558b5	Excluded	Non-fungal	Malassezia nana isolate KU60020.70 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~87%
67ad9f0e-fdeb-48ee-89a0-7b21fc6c559b	Included	Fungal	Uncultured fungus clone OTU1551 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~87%
24e6762f-e06b-41a0-bcbc-7852e3a96025	Excluded	Non-fungal	Rhizopus oryzae genes for 18S ribosomal RNA, internal transcribed spacer 1, 5.8S ribosomal RNA, internal transcribed spacer 2, 28S ribosomal RNA, partial and complete sequence, strain:1289 ~81%
6e2dbcc9-9c5d-4bf5-9b11-0dcad37de352	Excluded	Non-fungal	Calanus glacialis clone CNT00006 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~88%
0a8f3cf5-00d8-47c7-907c-e69befe5e031	Included	Fungal	Uncultured fungus clone 3230M20 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~78%
