ID	Status	Reason	Top_Hit
1444c21e-f0ad-4aee-bc6e-7fc04662ea41_x_af591219_c9d44752_10_trimmed	Included	Fungal	Peziza sp. 'varia-IN02' isolate CA FUNDIS iNaturalist # 154027220 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~95%
9e057289-c718-4b44-900e-96e2ef4e6c60_x_af591219_c9d44752_10_trimmed	Included	Fungal	Fungal endophyte isolate 5064_1039 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~89%
e93c7466-aa0d-4451-88c7-1cd649713506_x_af591219_c9d44752_10_trimmed	Included	Fungal	uncultured fungus genomic DNA sequence contains ITS1 ~89%
390e0579-a745-473f-8216-3b3e839c9a75_x_af591219_c9d44752_10_trimmed	Included	Fungal	Peziza sp. 'varia-IN02' isolate CA FUNDIS iNaturalist # 154027220 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~92%
f62d8e4e-bf0d-4f5c-be35-4f97c5a02b99_x_af591219_c9d44752_11_trimmed	Included	Fungal	Uncultured fungus clone 846 internal transcribed spacer 2, partial sequence ~92%
466dee8f-d6f3-4285-8fee-8e145f870a3d_x_af591219_c9d44752_12_trimmed	Excluded	Low identity	uncultured fungus genomic DNA sequence contains ITS1 ~74%
dde3646d-00a4-4eb1-8cce-3cb119b4dce0_x_af591219_c9d44752_12_trimmed	Excluded	Low identity	Uncultured fungus clone KTF1361 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence ~81%
cec54e01-9b19-4a2b-ae24-dbbfaa884b45_x_af591219_c9d44752_12_trimmed	Excluded	Low identity	uncultured fungus genomic DNA sequence contains ITS1 ~82%
aab92b6f-0932-4841-8fc3-a76c3c7932c8_x_af591219_c9d44752_13_trimmed	Excluded	Low identity	Uncultured fungus clone 846 internal transcribed spacer 2, partial sequence ~77%
78e1e30a-575e-4dee-844d-085ae751b4ff_x_af591219_c9d44752_16_trimmed	Included	Fungal	Fungal endophyte isolate 5064_1039 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~91%
