ID	Status	Reason	Top_Hit
74178c08-1897-4eb7-89b2-b56eafaff778	Included	Fungal	Pseudogymnoascus pannorum culture CBS:127175 strain CBS 127175 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~80%
2bb854c6-6cbd-4a10-a484-34d539b51879	Included	Fungal	Didymella sp. clone OTU811 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~100%
02159cbf-114f-44d3-a1bb-fa144623dddd	Included	Fungal	Serendipita sp. isolate G.major_TPS_CLM1853 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~96%
6506571c-0eaf-429e-a766-1e253afce022	Included	Fungal	Uncultured zygomycete clone 4S1_C04 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~80%
0ed2d1c7-d171-4371-aeba-b1428cb9ef47	Included	Fungal	Uncultured Uromyces sp. clone sw-xj209 16S ribosomal RNA gene, partial sequence ~80%
9fc1c49b-7332-493d-8ed2-b2cff3ffd8af	Included	Fungal	Dendrothele sp. strain HHB-19127 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~87%
d06e5d30-a0d9-4161-bca3-725aaab5da51	Included	Fungal	Phaeodiaporthe appendiculata strain SYNF355 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~96%
bb908cf3-b59c-4612-b202-2c2a343ae205	Included	Fungal	Penicillium brevicompactum strain ATCC 16024 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~100%
3d4fe17c-efaf-4c19-b227-2146dac3bcab	Included	Fungal	Uncultured Capnodiales partial 18S rRNA gene, isolate CARV12, clone 2BeRk43 ~96%
c6b476f1-7f1d-4cdb-8148-3c8c7bdcbf3f	Included	Fungal	Trichocladium griseum isolate F_HROOT1_10399 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~83%
dd67a94b-f44d-41cf-b6ef-d96d5a44ea2e	Included	Fungal	Henningsomyces sp. 'candidus-CA02' isolate CA FUNDIS iNaturalist # 161758685 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2610343183|gb|OR754061.1| Henningsomyces sp. 'candidus-CA02' isolate CA FUNDIS iNaturalist # 161088462 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2633572767|gb|OR944524.1| Henningsomyces sp. 'CA02' isolate CA FUNDIS iNAT:172213038 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2737463100|gb|PP849877.1| Henningsomyces sp. 'candidus-CA02' isolate CA FUNDIS iNaturalist # 167244435 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2782297694|gb|PQ124986.1| Henningsomyces sp. 'candidus-CA02' voucher HAY-F-005453 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~85%
7119f6db-18ac-4fa1-bfc8-aa84d8721f50	Included	Fungal	Uncultured fungus clone CMH567 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~83%
