ID	Status	Reason	Top_Hit
caffb11b-6a26-4b13-8754-7147b5287cb7	Included	Fungal	Uncultured fungus clone G1_FF7 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~91%
4abdfd7f-e949-483f-9387-5bc5c578611a	Included	Fungal	Uncultured fungus clone KTF1361 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence ~81%
eff96152-ef2a-4c10-b3d4-547fa0f606c0	Excluded	Low identity	Groenewaldozyma tartarivorans internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~71%
1f6686eb-ad46-42a7-87bb-ca74064e27d2	Included	Fungal	Lenzites betulinus isolate CA FUNDIS iNaturalist # 192303484 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~91%
be765db6-33a3-4ffb-9cdb-5ab9fa7f8c0c	Included	Fungal	Uncultured fungus clone T3_IV_1a_07 18S ribosomal RNA gene, partial sequence ~88%
37a5038b-73f2-4ff8-b781-f81cb5ecb7ca	Included	Fungal	Lenzites betulinus isolate CA FUNDIS iNaturalist # 192303484 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~97%
f58134bc-d699-4cdb-a1bd-64ac97eaee93	Included	Fungal	Uncultured fungus clone KTF1361 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence ~77%
aa135fd5-816b-40f3-8391-619a03900696	Excluded	Low identity	Uncultured fungus clone G1_FF7 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~74%
6c577eef-1491-4661-b11b-391b17940962	Included	Fungal	Uncultured fungus clone 035A15980 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~90%
aa0aa04a-dce8-4cc9-8f2b-5f561cf43313	Included	Fungal	Bjerkandera adusta isolate aislar 14.2_M small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~98%
66af7c5c-019e-4283-8b6d-4912adfc2c1f	Included	Fungal	Ascochyta rabiei uncharacterized protein (EKO05_0010017), partial mRNA ~81%
0b1da3ee-65d5-4e22-a892-6c8108c597b8	Included	Fungal	Uncultured fungus clone T3_IV_1a_07 18S ribosomal RNA gene, partial sequence ~86%
6ba1ad03-bc93-4c4b-9a2c-50e4863a6c7f	Included	Fungal	Lenzites betulinus isolate CA FUNDIS iNaturalist # 192303484 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~95%
90603c76-c194-4bf9-bee6-bd4cfaf7fa7d	Included	Fungal	Uncultured fungus clone 107A67671 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~93%
3295ba65-5d39-4950-a14e-3cb45308b1d5	Included	Fungal	Lenzites betulinus isolate CA FUNDIS iNaturalist # 192303484 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~94%
abbd8d16-6097-4421-94cb-377e1815be31	Included	Fungal	Bjerkandera adusta isolate OMDL iNat # 187689066 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~91%
6d4cd0b0-0975-4592-bf60-8243924dad1e	Included	Fungal	Uncultured fungus clone T3_IV_1a_07 18S ribosomal RNA gene, partial sequence ~86%
3001f69b-ef06-4f80-81c9-03d6bbcfc593	Included	Fungal	Uncultured fungus clone T3_II_2a_21 18S ribosomal RNA gene, partial sequence ~95%
