ID	Status	Reason	Top_Hit
083e98f3-1785-4371-9e11-45f7a883caa9	Included	Fungal	Colletotrichum gloeosporioides 16S small subunit ribosomal RNA gene, complete sequence ~93%
cdd79654-e643-48cc-9ec5-f9d9545f5bb1	Included	Fungal	Uncultured fungus clone 3993_2921 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~100%
fa6218dc-a14a-4f3e-81f3-080066beda08	Included	Fungal	Penicillium glabrum isolate M-65 small subunit ribosomal RNA gene, partial sequence ~100%
37f97fa9-e31b-4b54-8653-0fc41ccce07d	Included	Fungal	Basidiomycete symbiont of Cyphomyrmex rimosa 16S-like small subunit rRNA gene ~96%
1ba767e6-aa24-42e4-bef1-46a9aea24d63	Included	Fungal	Penicillium glabrum isolate M-65 small subunit ribosomal RNA gene, partial sequence ~96%
cb386295-f41e-4c27-8607-38228cc7f2f6	Included	Fungal	Ceratobasidium sp. 69_46C 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~96%
37edd7a4-c569-45b0-be00-1eaa0fd63d6b	Included	Fungal	Fungal sp. clone ITS1_OTU_2778 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~75%
0968ddeb-9c63-4655-a69d-1a177bb9aa01	Included	Fungal	Mastigosporium album culture CBS:323.68 strain CBS 323.68 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~96%
c50eee98-0edc-42f7-b4ad-50b9ccf7d5da	Included	Fungal	Penicillium glabrum isolate M-65 small subunit ribosomal RNA gene, partial sequence ~100%
0959c234-5dbc-4f49-a41f-ddf9f41df062	Included	Fungal	Basidiomycete symbiont of Cyphomyrmex rimosa 16S-like small subunit rRNA gene ~96%
2f9f5f57-18f0-45ae-89d3-60f270eb724a	Excluded	User skipped or timeout	N/A
75e6ad05-32d9-4486-8bd1-ffe8dea30091	Included	Fungal	Penicillium fellutanum isolate 40790-8W-3G-Fdi small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2916179381|gb|PV157031.1| Penicillium fellutanum isolate 41248-3W-4G-Fdi small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2916179388|gb|PV157038.1| Penicillium fellutanum isolate 46148-2W-1G-Sx small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~93%
71ba8f19-f709-4f97-ba84-b2fb0b12a011	Included	Fungal	Colletotrichum gloeosporioides 16S small subunit ribosomal RNA gene, complete sequence ~96%
4f9cb495-9914-40df-aa7e-d7d7f349bc45	Included	Fungal	Malassezia nana isolate KU60020.53 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~100%
bbeb65b3-e99c-4701-a888-fc60e7d806fa	Included	Fungal	Penicillium glabrum isolate M-65 small subunit ribosomal RNA gene, partial sequence ~100%
c1ac66b8-3666-4202-8f4e-dea84e524728	Included	Fungal	Penicillium glabrum isolate M-65 small subunit ribosomal RNA gene, partial sequence ~100%
eacd29a1-a91a-4d05-99dc-ccd23f5cc5da	Included	Fungal	Uncultured Tulasnellaceae clone 37-45 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~89%
9ff5d8d1-0cb7-40c9-a7c9-91ea5be1b53c	Included	Fungal	Penicillium glabrum isolate M-65 small subunit ribosomal RNA gene, partial sequence ~100%
