ID	Status	Reason	Top_Hit
171303f2-2deb-4c2a-b5d6-dbefdfa1560e_x_af591219_c9d44752_0_trimmed	Included	Fungal	Mucor moelleri strain NNIBRFG207 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~86%
70026534-2456-48fc-aaa5-c7f7fd51b1df_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Floccularia albolanaripes voucher HKAS107740 small subunit ribosomal RNA gene, partial sequence ~78%
70f5d418-90ef-476e-b806-619c8dae0c7d_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus isolate OTU0036 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~91%
a9fb2b59-2d62-4bb7-88ba-73fb8c693de7_x_af591219_c9d44752_0_trimmed	Included	Fungal	Bolbitius titubans isolate CA FUNDIS iNaturalist # 198746603 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~93%
61dc15de-9c02-43bb-89c7-81cca9a37b5b_x_af591219_c9d44752_0_trimmed	Included	Fungal	uncultured Pyronemataceae genomic DNA sequence contains ITS1 ~93%
b3d05692-d44f-4ef5-86ba-c17e50db43b7_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Uncultured Uromyces sp. clone sw-xj209 16S ribosomal RNA gene, partial sequence ~80%
86ce895b-9f16-48b9-8624-c3204ef73776_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Uncultured Hebeloma clone mOTU 18 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~77%
4a872f5f-5850-4a3d-8b29-bbb30709fcc7_x_af591219_c9d44752_1_trimmed	Included	Fungal	Holtermanniella takashimae isolate pCoJuM022 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~88%
a5a1de31-104e-4712-94a6-3489fd48a516_x_af591219_c9d44752_1_trimmed	Included	Fungal	Leptosphaeria maculans brassicae wa74_scaffold00942 complete sequence ~88%
3a9860cf-838a-49ce-91e0-16b4543b5f77_x_af591219_c9d44752_1_trimmed	Excluded	Low identity	Mucor shermaniae strain MST-F22878 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~83%
6f2c7f99-c3d9-4b04-b1e8-847815d74ac5_x_af591219_c9d44752_1_trimmed	Excluded	Low identity	Uncultured fungus clone T3_II_2a_21 18S ribosomal RNA gene, partial sequence ~82%
d12b1b5c-5ef2-40ab-91c7-99847ab962f9_x_af591219_c9d44752_1_trimmed	Included	Fungal	Aspergillus karnatakaensis serine hydrolase FSH (BJY04DRAFT_181812), mRNA ~96%
