ID	Status	Reason	Top_Hit
15088a91-45fc-4116-ad6e-9ac2b63a8c2d_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Uncultured fungus clone LTSP_EUKA_P2E14 18S ribosomal RNA, 18S-25/28S ribosomal RNA intergenic spacer, partial sequence ~84%
8e1c1729-8230-41b2-b44b-ad5d3b09f6df_x_af591219_c9d44752_0_trimmed	Included	Fungal	Lachancea thermotolerans strain FD6-1 16S ribosomal RNA gene, partial sequence ~96%
9f0c37b0-6325-4780-aabc-8492a1ec2932_x_af591219_c9d44752_0_trimmed	Included	Fungal	uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus04182 ~85%
e0d864a4-3b9c-44f9-bf21-204b92fd4e91_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured Pseudogymnoascus clone 271.MID29.A6CQR 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence ~93%
d227c605-f193-4a32-a1dd-b3d8f2694a39_x_af591219_c9d44752_0_trimmed	Included	Fungal	Naganishia globosa isolate 115APRIL small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~87%
aa4619f3-b4d0-4a74-bdde-836d4eb860fa_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Uncultured Uromyces sp. clone sw-xj209 16S ribosomal RNA gene, partial sequence ~81%
b8528e1c-07e7-4018-b1ee-ec24ed5d652c_x_af591219_c9d44752_0_trimmed	Included	Fungal	Gongronella butleri culture CBS:227.36 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~95%
74161bca-b1f2-4cb2-a62e-5a4ce90ddeaa_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Mucor ambiguus culture CBS:126943 strain CBS 126943 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~82%
88cf022c-41e7-460e-9f17-778bc585a8b1_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Mucor racemosus strain CN053E2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~82%
13b61124-0b54-44e0-9135-63d642fbc328_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone T3_IV_1a_07 18S ribosomal RNA gene, partial sequence ~92%
e974b5cc-ce78-4c9d-9f8a-14f92b6c781d_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Uncultured zygomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU2 ~78%
