ID	Status	Reason	Top_Hit
eba4b4ad-6c64-4f1f-82f1-d2cc1ea14fab_x_af591219_c9d44752_0_trimmed	Included	Fungal	Sordaria fimicola isolate FU-EFA 630.18 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~93%
71d4b237-dc5e-403a-b47c-a6230cfde1ed_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured zygomycete genomic DNA containing 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone 09JWuC14 (MOTU7) ~98%
abcccc8d-ebbb-4aaf-be06-f833b46ce24d_x_af591219_c9d44752_0_trimmed	Included	Fungal	Phomopsis sp. isolate UROR1-4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~95%
c7426642-c02b-4833-b353-7c543f0c64bb_x_af591219_c9d44752_0_trimmed	Included	Fungal	Tuber sp. SOC1404 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~91%
ae98a3f5-e3c1-4046-9ef3-bc07417ad214_x_af591219_c9d44752_0_trimmed	Included	Fungal	Neurospora calospora strain 595J small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2851276237|gb|PQ584347.1| Neurospora calospora strain S2R21 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~93%
58ef9083-adce-4088-9563-24aa2e228759_x_af591219_c9d44752_0_trimmed	Included	Fungal	Solicoccozyma terrea genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene ~87%
5b08a76d-6561-434d-880b-96f4e500448f_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Uncultured fungus clone OTU1761 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~75%
a64552ad-4e7c-4925-92b5-bc59b854a308_x_af591219_c9d44752_0_trimmed	Included	Fungal	Solicoccozyma terrea genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene ~94%
91343ae2-3e00-4da4-8d6a-1e06da73b149_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone ITS1_232 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~94%
b1cf1180-6a4c-4fd1-83b5-15a1c1bb73e8_x_af591219_c9d44752_0_trimmed	Included	Fungal	Coniochaeta sp. strain EXF-6850 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~88%
50f19c6d-8a43-47d5-b4f6-6eb054f1c0a4_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone ARD84 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~96%
6a08a16b-b64c-4cb2-838a-b23ebbddc60e_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone 039A55424 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~85%
b0c0fa65-be48-43cf-b147-eb3b7376bbbe_x_af591219_c9d44752_0_trimmed	Included	Fungal	Coniochaeta sp. strain EXF-6850 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~86%
0204295a-a6dc-4276-a487-4081cc61f2f7_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured Cryptococcus ITS1, 5.8S rRNA gene and ITS2, clone B9-9 ~91%
ffed7b36-fefd-49a5-a83c-683561786362_x_af591219_c9d44752_0_trimmed	Included	Fungal	Naganishia randhawae isolate NWHC 46382-1563_3LNA small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~91%
627d74e7-ee27-48ab-98df-2e381bb6c746_x_af591219_c9d44752_0_trimmed	Included	Fungal	Naganishia randhawae isolate NWHC 46382-1563_3LNA small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~99%
f5db2cea-c7fd-4489-ac9f-ddaa973bd76b_x_af591219_c9d44752_0_trimmed	Included	Fungal	Trichocladium sp. isolate DWB3 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~93%
3e54fbfd-2508-4cb2-9b0e-f3cd5a3a52e3_x_af591219_c9d44752_0_trimmed	Included	Fungal	Coniochaeta sp. strain EXF-6850 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~89%
5ad4261d-9dd9-4d21-a9ff-d77de0d06bdd_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured Hyphodontia clone 1N4C_2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~97%
70c30729-324c-47d6-8dad-1f12c05c08a8_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Chrysosporium sp. DV-2018a culture CBS:127121 strain CBS 127121 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~82%
3f3c11db-26da-4982-b503-f9705ccb4789_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone 4248_2630 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~89%
0c616ea8-a555-47d5-92ca-b87004714fea_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone C2_EG2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~88%
c39761ba-bdf6-4b1e-82a2-a5ab5c534fd0_x_af591219_c9d44752_0_trimmed	Included	Fungal	Solicoccozyma terrea genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene ~95%
259e7857-6845-5d91-b2be-aa323a026b90_x_af591219_c9d44752_0_trimmed	Included	Fungal	Naganishia randhawae isolate NWHC 46382-1563_3LNA small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~95%
589002c1-f4c9-40e6-8553-a40cf651ec88_x_af591219_c9d44752_0_trimmed	Included	Fungal	Penicillium ochrochloron strain PO4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~88%
92ddccb5-395a-4ba5-9f22-1c8d6fa77361_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus isolate KTRF789 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~90%
75f4eae8-a82b-4dc9-9053-44cd54d507f3_x_af591219_c9d44752_0_trimmed	Included	Fungal	Holtermanniella festucosa strain DSM 115465 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~93%
377ea4fd-e672-4c66-a88c-549c4b0dd78d_x_af591219_c9d44752_0_trimmed	Included	Fungal	Neurospora calospora strain 595J small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence >gi|2851276237|gb|PQ584347.1| Neurospora calospora strain S2R21 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~92%
87575844-8042-4cf3-bb46-8e6125e351dc_x_af591219_c9d44752_0_trimmed	Included	Fungal	Naganishia bhutanensis isolate NWHC 46379-1454_2LNA small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~94%
920ae44c-bfb2-407d-b0f5-1921222cd0a3_x_af591219_c9d44752_0_trimmed	Included	Fungal	Naganishia randhawae isolate NWHC 46382-1563_3LNA small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~93%
869f093b-43ad-4708-a155-d6e7b1b7a404_x_af591219_c9d44752_0_trimmed	Included	Fungal	Penicillium spinulosum isolate R1-14 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~89%
cea6d2e8-0f2b-4d5d-965f-04468203d5ef_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured Hyphodontia clone 1N4C_3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~97%
b956766b-bce1-4b23-9055-183c2e4e2037_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone 035A10100 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~87%
d2407cdb-59d9-4a60-b206-62b465d4b029_x_af591219_c9d44752_0_trimmed	Included	Fungal	Sordaria fimicola isolate 765B small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~92%
3e7441f2-677f-4aa9-b304-7c4d7d4bfd0b_x_af591219_c9d44752_0_trimmed	Included	Fungal	Botrytis sinoallii uncharacterized protein (EAF02_006446), partial mRNA ~95%
bb5ba1d5-4b40-46fe-ad2c-79d5ea8fbe19_x_af591219_c9d44752_0_trimmed	Included	Fungal	Aspergillus galapagensis strain CBS 117522 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~91%
8d19e37b-0be6-4091-b658-be342533b451_x_af591219_c9d44752_0_trimmed	Included	Fungal	Coniochaeta sp. strain EXF-6850 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~90%
90f7c2d7-0041-4ed2-96b0-c817fda02a56_x_af591219_c9d44752_0_trimmed	Included	Fungal	Trichocladium sp. isolate DWB3 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~87%
657c95e9-e4f9-49aa-83a2-387329f6f155_x_af591219_c9d44752_0_trimmed	Included	Fungal	Solicoccozyma terrea genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene ~92%
ebcb91c5-7c3b-4f21-a3df-132ea2a016da_x_af591219_c9d44752_0_trimmed	Included	Fungal	Naganishia randhawae isolate NWHC 46382-1563_3LNA small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~94%
264ba99e-0691-4a61-a1ab-05299f9dd1e7_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured zygomycete isolate OTU1169 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~94%
129cdf35-52bf-4a93-8c08-d7653bc9ac3d_x_af591219_c9d44752_0_trimmed	Included	Fungal	Solicoccozyma terrea genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene ~89%
c3abe538-f1db-4001-adb2-8bae9b6e93af_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone Otu323 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~89%
a06eef61-b735-42e5-a721-a73c996e723b_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone G2_CA2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~92%
87dc0c54-ae9f-4906-aa8d-335f62677776_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus clone ITS1F_22c.F66N0BQ01CJAA8 internal transcribed spacer 1, partial sequence ~95%
a5d49b47-cf6a-4b5b-9aad-87027268c7e9_x_af591219_c9d44752_0_trimmed	Included	Fungal	Solicoccozyma phenolica culture CBS:8682 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~97%
